,Mama's Buoi
1511,Pathetic place Seriously I don't know how this place has such high ratings whereas it deserves to be at 1-2 stars marks.Food here was average but the service and ambience was pathetic.
1512,"Place is okay... when we visited sadly not all AC were working. It was hot. Interior, ambience and service was good. Staff were supportive and friendly. I personally didn't like everything we ordered to eat. Mushroom soup was awesome though. Music was bit loud...difficult to communicate.Things can be made better. Good food at reasonable price can cover up for all small difficulties/ issues. As there is lot of competition in the area....advised to keep up to the standards."
1513,"Hudson never fails to surprise you when it comes to offering your choice of cafes according to your moods. This place is basically a party place especially in winters when the weather is good and you can enjoy its terrace while its indoor sitting is not so much appealing and very crowded all the time.Servers are polite and will try their best to cater to your needs and sitting preferences. They are well versed with the dishes and arrival time is real quick.One of the best things in this place is its shakes and drinks which are simply amazing. The distinct variety of shakes that it offers are one sip take it all delicious! Food is okayish, not bad but one can get better flavors...read more"
1514,Ambience is cool.My favourite Drums of heaven are extremely good.French fries with toofani chicken was okay and club sandwich with chicken was quite good.Can try these things will make u happy food soul.And hookah lovers do visit this place.
1515,"A friend recommended me this place. It's located in the third floor, probably at the end of the road full of cafes in Hudson Lane. The interior is good and gives you a vibe of a pub. I did not like the constant smoke in the environment (yes they serve hukka).Coming to food, we ordered a pizza and 4 cheese sandwich. They both were pretty good. Sandwiches were a bit different than others and are a must try."
1516,Wow...what a unique name they ...and i visit there just for there name and belive me they just make me remember  mother ls food..because my mom is chef...and they make same as my mom use to make...this place is very good good in all way ...ambians was nice...staff was very friendly...love to come again..
1517,"I visited Mama's Buoi on a friday evening. We headed to the terrace section which is the best part about this place. It was packed and we had to wait for 15-20 minutes to get a table. They have a two floor seating, one on the 3rd floor and then the terrace. 3rd floor has a an average ambience. But their terrace section is gorgeous and has a two level sitting. Their dim lit ambience and live singers make it an apt place to spend a lively evening with friends. You get a HKV terrace feel in GTB nagar. Impressed with the ambience, we had high hopes from food and service too. But they dint live upto my expectations. Service was too slow and food too was just average. We ordered chicken...read more"
1518,"One of the best places in the city...have visited a few times...n every time it was a different and a great experience..its one of those places which u can visit with ur families, frnz, grlfrnz, boyfrnz and anyone at all..food is good....and the drinks n food both r rilly reasonable in prices....staff is really friendly ...and the owner of this place and the staff as well wont disappoint u in hospitality.....highly recommended to all...."
1519,"Thought of enjoying the good weather in gtb nagar at a roof top cafe so here we were at the Mama's Buoi Cafe. Such a nice terrace of this place with a great ambience with a very comfortable seating. Very well designed rooftop with non stop mist making the weather more enjoyable. So we ordered a Non Veg Pizza with Veg Red Sauce Pasta, a portion of Garlic breadwith 3 special Mocktails ( Cucumber mocktails tossed with in house spices , Litchi Mocktail with a blend mix of ginger, A suitable orange mocktail ) The size of the pizza will serve 4 very easily and the presentation of all the servings were very good. The hookah was amazing. But the service was quite annoying because firstly we had...read more"
1520,"When you wanna have a good evening out with friends this is the place that suits your needs the bestAwesome food , we ordered chicken malai tikka - soft and tenderPeri peri chicken - amazingly spiced and again very soft with a very nice tandoor taste to itPasta - both white and red sauce pastas were up to the mark Garlic breads were very well flavored Pizzas could have been a little betterThey have live bands on Sundays and the performances just sets up the mood wellThere is a little foul smell which comes from the sewer nearby but i am not gonna take away any points from this place coz of thatYou rock guys .. keep it up"
