,TOS - Take Off Scarlet
1863,"Overall nice..dj awesome,food was also good,service was too slow..photgraphers was provided by them...Wanted to know from where can i get photographs..i visited there on 10th sep. Plss let me know if i can get photographs.."
1864,Tos my fav lounge❤ best thing in all its Sheesha😘😘😘😘😘😘❤ Used 2 love its food💜 I used to visit here in daily basis😉 Must visit here😘😘 
1865,I visited this place 3-4 times i just experienced this place better than other lounges and clubs ..😊Bc'oz of his space ..lightings and beautiful eaye catching interiors must visit this place...😉
1866,Awsm food ....awsm staff..must visitBest place to freshen up ur mind with all wat u want .😎😎✌️...music lovers must visit....Take off scarlet is the best place for you..
1867,Best place to spend time with loved ones....💖 Appetizing food... 😍Glorious interior decor...😍 And overall a fantastic place with high class facilities..... 😍😍
1868,"it's been my fav❤️ Place Since 2yearsi used 2 Visit here weekly What else i Should Say for This wonderful Place👍🏻 eye catchy interiors, pleasent Music, Delicous food with good ServiceResponsible Security and helpfull Staff😊ideal nd Safe place for late night parties and Dinners. Many big Celebs visited here and had a gr8 Experience...best hangout place for both friends and family😊 Must visit here it will be above your expectations😉1 Of the bestest places in Delhi and it will always remain mah Fav❤️"
1869,Best lounge in delhi❤Yummy food😍😍😍😍Good security😉Used 2 come twice in a week.😘🙌Must visit this beautiful place😍😍😍😍😍😍😍😍😍😍😍😍😍😍
1870,AmbienceAmbience is very dark. Good for people who like such dark places n wants disc like feeling but definitely not my type. DJ  DJ was very good n sound quality ws awesome. FoodFood is average. I liked d mocktails. ServiceService is average.They have their personal photographer n I liked their picture quality.Overall experiencePlace is for youngster s who wants to lounge around but not a place to go with family. 
1871,This place is awsm.I luv it😘.It's service is tremendous.Nice place to pass the tym . Location is also very god and the crowd there is also nice . Food is also delicious😋😋
1872,Best place with One of the best interiors ❤😍 service too good ❤panner Tikka is so delicious 💯 Dj is damn awesome 💯 love to visit again ❤ 
1873,Delicious food.. Interior is the best.  Service is absolutely fine. Prices are reasonable. The best lounge in punjabi bagh. (sahil jafri)  must visit
1874,Best place for party lover. Sheesha lover will definitely love this place.. interior are the best and food served are delicious. This place will never disappoint you. Affordable and good service. Coming again soon. 
1875,"Very very poor service and rude staff so quit table in start only,The service was terrible....music was extremely loud. The waiters were least interested in serving ...very bad experience..will not go again..Rating is fake.. Please avoid it... Poor food..no availablity of diet Coke even on prior discussion ,,, normal Coke totally flat .....😒😒 menu change by its own ..."
1876,Good place to chill in Punjabi Bagh with great ambiance.food is descent but music is greatWould recommend people to visit this place.hukka is good😂
1877,Visited first time and got an Amazing experience ❤️ Awesome ambience.. Food was amazing.. Services are good.. Sound of the music was upto the mark.. Rest everything is Perfect💯
1878,"Rating only for food. Cheesy cigar rolls, chilli chicken, chilli paneer, dahi ke kabab were good. Ambience was good. Customer service was not good. Waited 20 mins till we gave the order. More room for improvement in servicing department. "
1879,I went this place for my birthday dinner party with my family .The food was average but service was very poor.During the dinner we ordered next breads but after 20 minutes we got the breads. There was no system for delivery of food on the tables.I got first time experience of so bad service.
1880,"Pathetic place...completely ruined the Saturday night mood...below average service..we had to ask for plates and fork to be served. To top it all, the pizza they served had some thread type stuff hanging from it...disgusting. We paid and left the place "
1881,Ambience is very good... i liked the snacks....though main course was bit let down for me. mocktails was average  . I wanted to give 3 star but i gave one extra just for ambience.
1882,"So today i went to this cafe and seriously i would recommend this place as its ambience would be rated not less than 4/5 Atmosphere was cool enough inside.Apart from ambience their food tastes well and good.We ordered Paneer Tikka Pizza(thin crust), Tandori Platter, Tawa Chaap and Dal Makhni along with some breads and trust me they tasted really good. Pizza and Tawa chaap tastes the best out of which i ordered. I dont know why people talk about its late service as i didn't felt anything like that. Service was good enough. So i would rate service and food both 4/5. This would be enough for this place and yes this cafe is a once must visit types."
